ip,app,device,os,channel,click_time,attributed_time,is_attributed
122345,3,1,19,137,2017-11-07 11:50:32,,0
73487,3,1,22,409,2017-11-08 10:17:07,,0
28607,2,1,8,237,2017-11-08 08:46:27,,0
42176,18,1,19,121,2017-11-07 03:09:35,,0
59303,1,1,19,137,2017-11-08 04:25:59,,0
48176,3,1,18,280,2017-11-08 02:52:30,,0
160103,12,1,9,140,2017-11-07 17:24:16,,0
73487,8,1,10,145,2017-11-08 13:48:09,,0
143043,27,1,30,122,2017-11-08 05:07:01,,0
40834,3,1,19,280,2017-11-08 16:02:48,,0
47534,1,1,13,101,2017-11-08 02:50:28,,0
53713,29,1,10,101,2017-11-09 15:54:28,,0
27001,26,1,13,121,2017-11-07 14:06:23,,0
37948,12,1,22,205,2017-11-08 15:06:04,,0
254101,19,33,29,213,2017-11-08 14:24:03,2017-11-08 14:25:07,1
45757,12,1,9,178,2017-11-06 23:06:34,,0
18538,12,1,32,259,2017-11-08 01:36:23,,0
65704,9,1,9,466,2017-11-09 03:37:20,,0
37283,18,1,42,121,2017-11-08 01:59:59,,0
95766,12,1,13,178,2017-11-07 13:14:11,,0
35973,9,1,9,134,2017-11-06 23:11:16,,0
342444,12,1,16,259,2017-11-08 19:20:27,,0
6269,8,1,31,145,2017-11-08 03:57:37,,0
105475,23,1,19,153,2017-11-08 11:30:48,,0
195996,18,1,12,107,2017-11-09 03:51:29,,0
25761,2,1,19,401,2017-11-09 13:49:45,,0
304218,3,1,10,280,2017-11-09 06:45:17,,0
221694,8,1,13,140,2017-11-09 11:15:59,,0
140801,2,1,19,219,2017-11-07 14:56:51,,0
119870,12,1,18,19,2017-11-08 04:48:44,,0
73516,9,1,19,234,2017-11-09 11:44:49,,0
32453,9,2,18,442,2017-11-07 18:30:26,,0
197740,12,1,13,145,2017-11-06 22:14:44,,0
50314,12,1,13,340,2017-11-09 06:39:15,,0
73261,1,1,19,124,2017-11-09 01:27:11,,0
24876,12,2,97,245,2017-11-09 06:05:14,,0
80275,3,2,19,280,2017-11-08 06:02:48,,0
31652,2,1,6,469,2017-11-09 06:19:53,,0
34812,26,1,14,121,2017-11-07 10:12:25,,0
5348,14,1,19,489,2017-11-06 22:59:44,,0
78580,12,1,13,265,2017-11-06 16:06:22,,0
187156,23,1,47,153,2017-11-09 14:30:44,,0
53454,7,1,19,101,2017-11-09 08:52:22,,0
84134,9,1,9,232,2017-11-08 12:15:14,,0
39215,18,1,18,107,2017-11-07 03:47:25,,0
2600,3,1,19,424,2017-11-08 13:40:33,,0
190483,9,1,19,244,2017-11-07 06:54:05,,0
296384,12,1,19,409,2017-11-09 15:31:41,,0
64593,27,1,13,153,2017-11-07 06:23:54,,0
151624,13,1,6,477,2017-11-08 03:56:30,,0
52010,14,1,56,113,2017-11-08 02:45:03,,0
21734,8,1,13,145,2017-11-09 04:38:36,,0
70327,3,1,18,280,2017-11-08 08:34:51,,0
10985,9,1,19,445,2017-11-08 07:03:10,,0
68930,2,1,19,469,2017-11-08 22:09:50,,0
269733,1,1,8,349,2017-11-08 03:10:23,,0
109735,13,1,40,469,2017-11-07 18:48:47,,0
71907,2,1,18,477,2017-11-07 16:30:57,,0
151882,26,1,17,266,2017-11-09 10:37:28,,0
172148,12,1,13,245,2017-11-08 23:41:29,,0
39814,12,1,34,328,2017-11-07 23:11:16,,0
161911,3,1,22,480,2017-11-07 10:59:16,,0
5348,151,0,38,347,2017-11-07 22:45:27,,0
77468,18,1,22,107,2017-11-09 10:10:46,,0
257166,2,1,13,477,2017-11-08 06:16:57,,0
163634,9,1,27,489,2017-11-07 10:22:39,,0
89430,9,1,13,391,2017-11-07 10:40:18,,0
31216,21,1,18,128,2017-11-07 13:03:44,,0
4052,2,1,10,219,2017-11-08 13:14:00,,0
41829,15,1,12,245,2017-11-09 04:07:17,,0
59290,5,1,47,377,2017-11-08 12:51:45,,0
78876,9,1,19,442,2017-11-08 07:15:15,,0
189341,3,2,19,137,2017-11-07 11:30:09,,0
40022,2,1,19,237,2017-11-09 03:11:43,,0
79258,12,1,19,19,2017-11-08 10:57:47,,0
25858,18,1,19,107,2017-11-09 01:34:12,,0
944,3,1,17,480,2017-11-09 07:53:25,,0
105519,9,2,70,258,2017-11-07 18:14:01,,0
72590,15,1,23,480,2017-11-09 03:18:30,,0
114220,26,1,32,477,2017-11-09 04:52:07,,0
10236,3,1,13,424,2017-11-09 08:06:51,,0
118367,12,1,19,259,2017-11-08 13:02:34,,0
48139,3,1,18,280,2017-11-08 00:50:11,,0
190139,13,1,17,477,2017-11-07 06:35:17,,0
81935,3,1,13,452,2017-11-07 04:42:27,,0
32265,21,2,70,232,2017-11-09 10:18:38,,0
28725,13,1,13,400,2017-11-09 12:15:21,,0
146948,64,1,40,459,2017-11-08 18:12:41,,0
93054,9,1,19,234,2017-11-09 00:18:41,,0
286672,1,1,18,137,2017-11-08 02:54:41,,0
73671,28,1,13,135,2017-11-09 12:00:28,,0
109718,15,1,22,315,2017-11-08 23:01:18,,0
27727,2,1,19,477,2017-11-09 07:47:13,,0
25732,15,1,20,265,2017-11-07 18:31:24,,0
14792,3,1,20,452,2017-11-07 13:06:18,,0
141820,9,1,19,445,2017-11-07 12:57:25,,0
144132,2,1,47,452,2017-11-09 01:44:34,,0
1713,23,1,15,153,2017-11-08 10:14:22,,0
14868,12,1,19,265,2017-11-08 14:37:34,,0
87496,3,1,13,280,2017-11-07 06:00:07,,0
69008,7,1,13,101,2017-11-09 15:21:51,,0
29540,9,1,6,134,2017-11-07 09:58:03,,0
99769,8,1,19,145,2017-11-09 00:54:26,,0
100654,23,1,3,153,2017-11-07 05:58:12,,0
187996,18,1,13,107,2017-11-07 13:27:58,,0
119395,3,1,16,424,2017-11-07 23:18:46,,0
28801,9,1,13,215,2017-11-07 15:11:33,,0
111150,15,1,14,245,2017-11-08 15:36:28,,0
65746,18,1,3,121,2017-11-09 07:51:48,,0
47661,9,1,19,466,2017-11-09 06:41:51,,0
274181,21,2,10,128,2017-11-07 22:00:09,,0
141620,14,1,6,134,2017-11-07 16:31:53,,0
125385,3,1,10,280,2017-11-09 15:32:14,,0
43793,9,1,26,244,2017-11-09 11:41:50,,0
65307,3,1,36,489,2017-11-08 01:44:54,,0
276593,13,1,22,477,2017-11-08 02:43:39,,0
